route_id,direction_label,stop_code,stop_name,stop_sequence
17,Inbound,dych,dyer & chestnut hill,2
17,Inbound,odfe,plainfield & pocasset,3
17,Inbound,olsq,olneyville square,4
17,Inbound,crws,cranston & westminster,5
17,Inbound,kepl,kennedy plaza - providence,6
17,Outbound,kepl,kennedy plaza - providence,1
17,Outbound,hosq,cranston & westminster,2
17,Outbound,olsq,olneyville square,3
17,Outbound,odfe,plainfield & pocasset,4
17,Outbound,dych,dyer & chestnut hill,5
17,Outbound,stph,stop&shop (atwood ave. - johnston),6
18,Inbound,dych,dyer & chestnut hill,1
18,Inbound,lhel,laurel hill & elwyn,2
18,Inbound,weun,webster & union,3
18,Inbound,crch,cranston & chapin,4
18,Inbound,crws,cranston & westminster,5
18,Inbound,kepl,kennedy plaza - providence,6
18,Outbound,kepl,kennedy plaza - providence,1
18,Outbound,crws,cranston & westminster,2
18,Outbound,crch,cranston & chapin,3
18,Outbound,weun,webster & union,4
18,Outbound,lhel,laurel hill & elwyn,5
18,Outbound,dych,dyer & chestnut hill,6
19,Inbound,afcs,cranston ind. pk. (amflex & comstock),1
19,Inbound,walc,walmart (cranston),2
