route_id,direction_label,stop_code,stop_name,stop_sequence
60,Outbound,grla,green lane (middletown),8
60,Outbound,emtu,east main & turnpike,9
60,Outbound,twmi,west main & east main,10
60,Outbound,gace,newport visitor center,11
61,Inbound,fird,park&ride (fish road - tiverton),1
61,Inbound,pmpr,park&ride (east main - portsmouth),2
61,Inbound,mtho,roger williams university (bristol),3
61,Inbound,mtfr,metacom & franklin,4
61,Inbound,wapk,park&ride (franklin st. - warren),5
61,Inbound,majo,main & joyce (warren),6
61,Inbound,whch,park&ride (white church - barrington),7
61,Inbound,tuth,tunnel & thayer,8
61,Inbound,exte,exchange terrace (stop X),9
61,Inbound,conv,rhode island convention center,10
61,Inbound,weem,westminster & empire,11
61,Inbound,weed,weybosset & eddy,12
61,Inbound,tuhe,turk's head building,13
61,Outbound,conv,rhode island convention center,1
61,Outbound,weem,westminster & empire,2
61,Outbound,weed,weybosset & eddy,3
61,Outbound,tuhe,turk's head building,4
61,Outbound,exte,exchange terrace (stop X),5
61,Outbound,tuth,tunnel & thayer,6
61,Outbound,whch,park&ride (white church - barrington),7
61,Outbound,majo,main & joyce (warren),8
61,Outbound,wapk,park&ride (franklin st. - warren),9
61,Outbound,mtfr,metacom & franklin,10
61,Outbound,mtho,roger williams university (bristol),11
61,Outbound,pmpr,park&ride (east main - portsmouth),12
61,Outbound,fird,park&ride (fish road - tiverton),13
62,Inbound,uri,u.r.i. (memorial union),1
62,Inbound,2138,rtes. 2 & 138,2
62,Inbound,exva,rte. 2 & exeter road (exeter variety),3
62,Inbound,2102,park&ride (wickford junction train sta.),4
62,Inbound,ccrw,c.c.r.i. warwick campus,5
62,Inbound,unec,nursing education ctr,6
62,Inbound,kepl,kennedy plaza - providence,7
62,Inbound,psta,providence station,8
62,Outbound,psta,providence station,1
62,Outbound,exte,exchange terrace (stop X),2
62,Outbound,unec,nursing education ctr,3
62,Outbound,ccrw,c.c.r.i. warwick campus,4
62,Outbound,2102,park&ride (wickford junction train sta.),5
62,Outbound,exva,rte. 2 & exeter road (exeter variety),6
62,Outbound,2138,rtes. 2 & 138,7
62,Outbound,uri,u.r.i. (memorial union),8
63,Inbound,oxbo,oxbow farms apartments,1
63,Inbound,wmss,west main at stop&shop (on-street),2
63,Inbound,stsm,stop&shop (west main - middletown),3
63,Inbound,amex,middletown public library,4
63,Inbound,miga,newport garage,5
63,Inbound,gafo,connell & maple,6
63,Inbound,nema,newport towne center,7
63,Inbound,brak,broadway & admiral kalbfus,8
63,Inbound,ciha,newport city hall,9
63,Inbound,gace,newport visitor center,10
63,Outbound,gace,newport visitor center,1
63,Outbound,ciha,newport city hall,2
63,Outbound,brak,broadway & admiral kalbfus,3
63,Outbound,nema,newport towne center,4
63,Outbound,gafo,connell & maple,5
63,Outbound,miga,newport garage,6
63,Outbound,aqsh,aquidneck shopping center (e. main),7
63,Outbound,emva,east main & valley,8
63,Outbound,weho,west house,9
63,Outbound,stsm,stop&shop (west main - middletown),10
63,Outbound,oxbo,oxbow farms apartments,11
64,Inbound,kirr,kingston railroad station,1
64,Inbound,uri,u.r.i. (memorial union),2
64,Inbound,rtwe,park&ride (rtes. 1 & 138),3
64,Inbound,urib,u.r.i. (bay campus),4
64,Inbound,rt1a,park&ride (rtes. 1a & 138),5
64,Inbound,jame,jamestown ferry landing,6
64,Inbound,nema,newport towne center,7
64,Inbound,ccrn,c.c.r.i. newport campus,8
64,Inbound,ga17,naval undersea warfare center (gate 23),9
64,Inbound,gace,newport visitor center,10
64,Outbound,gace,newport visitor center,1
64,Outbound,nema,newport towne center,2
64,Outbound,ga17,naval undersea warfare center (gate 23),3
64,Outbound,ccrn,c.c.r.i. newport campus,4
64,Outbound,jame,jamestown ferry landing,5
64,Outbound,rt1a,park&ride (rtes. 1a & 138),6
64,Outbound,urib,u.r.i. (bay campus),7
64,Outbound,rtwe,park&ride (rtes. 1 & 138),8
64,Outbound,uri,u.r.i. (memorial union),9
64,Outbound,kirr,kingston railroad station,10
65,Inbound,wake,wakefield mall,1
65,Inbound,rtwe,park&ride (rtes. 1 & 138),2
65,Inbound,2102,park&ride (wickford junction train sta.),3
65,Inbound,exte,exchange terrace (stop X),4
65,Inbound,conv,rhode island convention center,5
65,Inbound,weem,westminster & empire,6
65,Inbound,weed,weybosset & eddy,7
65,Inbound,tuhe,turk's head building,8
65,Outbound,conv,rhode island convention center,1
65,Outbound,weem,westminster & empire,2
65,Outbound,weed,weybosset & eddy,3
65,Outbound,tuhe,turk's head building,4
65,Outbound,exte,exchange terrace (stop X),5
65,Outbound,2102,park&ride (wickford junction train sta.),6
65,Outbound,rtwe,park&ride (rtes. 1 & 138),7
65,Outbound,wake,wakefield mall,8
66,Inbound,gabe,galilee beach,1
66,Inbound,narr,narragansett (salt pond plaza),2
66,Inbound,wake,wakefield mall,3
66,Inbound,petr,kingstown & high,4
66,Inbound,uri,u.r.i. (memorial union),5
66,Inbound,kirr,kingston railroad station,6
66,Inbound,2138,rtes. 2 & 138,7
66,Inbound,exva,rte. 2 & exeter road (exeter variety),8
66,Inbound,2102,park&ride (wickford junction train sta.),9
66,Inbound,ccrw,c.c.r.i. warwick campus,10
66,Inbound,tfgr,t.f. green airport,11
66,Inbound,kepl,kennedy plaza - providence,12
66,Inbound,psta,providence station,13
66,Outbound,psta,providence station,1
66,Outbound,exte,exchange terrace (stop X),2
66,Outbound,tfgr,t.f. green airport,3
66,Outbound,ccrw,c.c.r.i. warwick campus,4
66,Outbound,2102,park&ride (wickford junction train sta.),5
66,Outbound,exva,rte. 2 & exeter road (exeter variety),6
66,Outbound,2138,rtes. 2 & 138,7
66,Outbound,kirr,kingston railroad station,8
66,Outbound,uri,u.r.i. (memorial union),9
66,Outbound,petr,kingstown & high,10
66,Outbound,wake,wakefield mall,11
66,Outbound,narr,narragansett (salt pond plaza),12
66,Outbound,gabe,galilee beach,13
67,Inbound,bele,bellevue & ledge,1
67,Inbound,maho,marble house,2
67,Inbound,beru,bellevue & ruggles,3
67,Inbound,salv,salve regina university,4
67,Inbound,beme,bellevue & memorial blvd.,5
67,Inbound,gace,newport visitor center,6
67,Outbound,gace,newport visitor center,1
67,Outbound,beme,bellevue & memorial blvd.,2
67,Outbound,salv,salve regina university,3
67,Outbound,beru,bellevue & ruggles,4
67,Outbound,maho,marble house,5
67,Outbound,bele,bellevue & ledge,6
71,North,jlnm,job lot (ann mary st. - pawtucket),1
71,North,nmda,pawtucket & dartmouth,2
71,North,nmra,pawtucket & randall,3
71,North,slmi,slater mill (main & roosevelt),4
71,North,brba,broad & barton,5
71,North,hubr,hunt & broad,6
71,North,brjo,broad & john,7
71,North,mibr,ann&hope way & broad,8
71,North,s122,stop&shop (mendon rd. - cumberland),9
71,South,s122,stop&shop (mendon rd. - cumberland),1
71,South,mibr,ann&hope way & broad,2
71,South,brjo,broad & john,3
71,South,hubr,hunt & broad,4
71,South,brba,broad & barton,5
71,South,maro,pawtucket transit ctr (main & roosevelt),6
71,South,nmra,pawtucket & randall,7
