service_id,date,exception_type
hset1701-Weekday-1-SE2017-0001000,20171130,1
hset1701-Weekday-1-SE2017-0001000,20171207,1
hset1701-Weekday-1-SE2017-0001000,20171214,1
hset1701-Weekday-1-SE2017-0001000,20171221,1
hset1701-Weekday-1-SE2017-0001000,20171228,1
hset1701-Weekday-1-SE2017-0001000,20180104,1
hset1701-Weekday-1-SE2017-0001000,20180111,1
hsew1701-Weekday-1-SE2017-0010000,20171011,1
hsew1701-Weekday-1-SE2017-0010000,20171018,1
hsew1701-Weekday-1-SE2017-0010000,20171025,1
hsew1701-Weekday-1-SE2017-0010000,20171101,1
hsew1701-Weekday-1-SE2017-0010000,20171108,1
hsew1701-Weekday-1-SE2017-0010000,20171115,1
hsew1701-Weekday-1-SE2017-0010000,20171122,1
hsew1701-Weekday-1-SE2017-0010000,20171129,1
hsew1701-Weekday-1-SE2017-0010000,20171206,1
hsew1701-Weekday-1-SE2017-0010000,20171213,1
hsew1701-Weekday-1-SE2017-0010000,20171220,1
hsew1701-Weekday-1-SE2017-0010000,20171227,1
hsew1701-Weekday-1-SE2017-0010000,20180103,1
hsew1701-Weekday-1-SE2017-0010000,20180110,1
